Crop species,Crop name,MonfredaCrop,CropCategory,Breeding,Pollination without visitors,Pollinators and visitors,Positive impact by animal pollination,"Leading crop, commodity",Refs for positive impact,Notes
Sambucus nigra,Elderberry,berrynes,Fruit,"hermaphrodite, self-compatible",passive self-pollination,"honey bees, flies, longhorn beetles",modest,"commodity, fresh fruits NES",Bolli 1994,
Solanum quitoense,Naranjillo,tropicalnes,Fruit,"hermaphrodite, self-compatible, buzz-pollination",,bumble bees,great,"commodity, fresh tropical fruits NES",Heiser et al. 1972; Roubik 1995; Almanza et al. 2006,
Sorbus aucuparia,Rowanberry,berrynes,Fruit,"hermaphrodite, self-incompatible",passive self-pollination,"honey bees, bumble bees, syrphid flies",essential,"commodity, fresh fruits NES",Campbell et al. 1991; Bixby & Levin 1996; Sperens 1996; Raspé 1998; Pías & Guitián 2006,
Sorbus domestica,Service-apple,fruitnes,Fruit,"hermaphrodite, self-incompatible",,"bees, flies",modest (indirect),"commodity, fresh fruits NES",Campbell et al. 1991; Kausch-Blecken von Schmeling 1992,
"Spondias ssp., mainly S. mombin, S. tuberosa","Hog plum, Mombin",tropicalnes,Fruit,"hermaphrodite, varying degree of self-incompatibility depending on species and variety",wind pollination,"honey bees (Apis mellifera), stingless bess (Melipona sp.)",little,"commodity, fresh tropical fruits NES",Dominguez Sanchez et al. 2002,
Tamarindus indica,Tamarind,pea,Fruit,hermaphrodite,passive self-pollination,honey bees (Apis dorsata),little,"commodity, fresh fruits NES",Free 1993,
"Vaccinium corymbosum, V. angustifolium, V. ashei, V. myrtillus","Highbush blueberry, Lowbush blueberry, Rabbiteye blueberry, Bilberry",blueberry,Fruit,"hermaphrodite, self-compatible, with varying degree of self-incompatibility, buzz-pollination",passive self-pollination,"honey bees (Apis mellifera), bumble bees (Bombus impatiens), solitary bees (Anthophora pilipes, Colletes sp., Habropoda laboriosa, Osmia ribifloris, O. lignaria)",great,no,"Payne et al. 1989; Cane & Payne 1990; Free 1993; Dogterom 1999; Stubbs & Drummon 1999, 2001; Dogterom et al. 2000; Sampson & Cane 2000; Delaplane & Mayer 2000; Hokanson & Hancock 2000; Aras et al. 1996; Cane 1997; Javorek et al. 2002; Dedej & Delaplane 2003; Sampson et al. 2004; Desjardins & De Oliveira 2006",
"Vaccinium macrocarpon, V. oxycoccus","American cranberry, European cranberry",cranberry,Fruit,"hermaphrodite, self-compatible, buzz-pollination",passive self-pollination,"honey bees (Apis mellifera), bumble bees (Bombus affinis), solitary bees (Megachile (Delomegachile) addenda, M. rotundata)",great,no,Free 1993; Cane et al. 1996; Delaplane & Mayer 2000; Cane & Schiffhauer 2003; Brown & McNeil 2006; Evans & Spivak 2006,
Vitis vinifera,"Table grape, Vine grape",grape,Fruit,"hermaphrodite, self-compatible","passive self-pollination, wind pollination","honey bees, solitary bees",no increase,yes,Free 1993; Rhodes 2002; Sampson et al. 2001,but production increase in V. rotundifolia 
Zizyphus jujuba,Jujube,stonefruitnes,Fruit,"hermaphrodite, self-compatible",passive self-pollination,"honey bees (Apis mellifera), flies, beetles, wasps",modest,no,Free 1993; Sharma & Jindal 1997,
Amygdalus communis,Almond,almond,Nut,"hermaphrodite, self-incompatible, but some new varieties self-compatible",passive self-pollination,"honey bees (Apis mellifera), bumble bees, solitary bees (Osmia cornuta), flies",great,no,Free 1993; Bosch 1994; Bosch & Blas 1994; Torre Grossa et al. 1994; Delaplane & Mayer 2000; Westerkamp & Gottsberger 2000; De Grandi-Hoffman 2001; Thomson & Goodell 2001; Soltész et al. 2003a; Lumkin 2005,
Anacardium occidentale,"Cashew nut, and Cashewapple",cashew; cashewapple,Nut,andro-monoecious,passive self-pollination,"honey bees (Apis dorsata, Apis mellifera), stingless bees, bumble bees, solitary bees (Centris tarsata), butterflies, flies, hummingbirds",great,no,Heard et al. 1990; Crane 1991; Free 1993; Freitas & Paxton 1998; De Holanda-Neto et al. 2002; Freitas et al. 2002; Bhattacharya 2004,
Arachis hypogea,"Peanut, Groundnut",groundnut,Nut,"hermaphrodite, self-compatible",self-pollination (many varieties cleistogamous),"honey bees (Apis dorsata, Apis florae, Apis mellifera), bumble bees, solitary bees, hover flies, butterflies",little,yes,Crane 1991; Free 1993; Blanche et al. 2006 ,vary among varieties and no benefit found by Blanche et al. 2006 because of infrequent flower visitation
Bertholletia excelsa,"Brazil nut, Para nut, Cream nut",brazil,Nut,"hermaphrodite, self-incompatible",,"bumble bees, solitary bees (Euglossini, Xylocopa sp.)",essential,no,O’Malley et al. 1988; Mori & Prance 1990; Free 1993; Mauès 2002,
Castanea sativa,Chestnut,chestnut,Nut,"monoecious, largely self-incompatible",wind pollination,"honey bees, solitary bees",modest,no,Manino et al. 1991; De Oliveira et al. 2001,
Macadamia ternifolia,Macadamia,nutnes,Nut,"hermaphrodite, largely self-incompatible",,"honey bees (Apis mellifera), stingless bees (Trigona carbonaria), solitary bees (Homalictus sp.), wasps, butterflies",essential,"commodity, nuts NES",Free 1993; Heard 1993; Heard 1994; Wallace et al. 1996; Blanche et al. 2006b,
"Brassica alba, B. hirta, Sinapis alba, B. nigra, Sinapis nigra",Mustard seeds,mustard,Edible Oil and Proteinaceous,"hermaphrodite, self-compatible","passive self-pollination, wind pollination","honey bees (Apis mellifera), solitary bees (Osmia cornifrons, O. lignaria lignaria)",modest,no,Free 1993; Abel & Wilson; 1999; Abel et al. 2003,
Brassica napus oleifera,"Rapeseed, Oilseed rape",rapeseed,Edible Oil and Proteinaceous,"hermaphrodite, self-compatible","passive self-pollination, wind pollination","honey bees (Apis mellifera), bumble bees, solitary bees (Andrena sp., Osmia cornifrons, Osmia lignaria lignari, Halictus sp., Bombus sp.), hoverflies",modest,yes,Free 1993; Adegas & Noqueira Couto 1992; Abel & Wilson 1999; Bürger 2004; Manning & Boland 2000; Abel et al. 2003; Morandin & Winston 2005,
